activeDuration,activityLevel,activityName,activityTypeId,averageHeartRate,calories,caloriesLink,duration,elevationGain,heartRateLink,heartRateZones,lastModified,logId,logType,manualValuesSpecified,originalDuration,originalStartTime,source,startTime,steps,tcxLink
5336000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 17, 'name': 'fairly'}, {'minutes': 64, 'name': 'very'}]",Workout,3000,126.0,766,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-14/2018-06-14/1min/time/8:19/9:48.json,5336000,78.999344,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-14/2018-06-14/1sec/time/08:19:13/09:48:09.json,"[{'max': 98, 'min': 30, 'minutes': 0, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 73, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 16, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-14T14:00:01.000Z,14880769299,tracker,"{'calories': False, 'distance': False, 'steps': False}",5336000,2018-06-14,"{'id': '80357337', 'name': 'Charge 2', 'type': 'tracker', 'url': 'https://www.fitbit.com/'}",2018-06-14T08:19:13.000-04:00,2826,https://api.fitbit.com/1/user/-/activities/14880769299.tcx
1485000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 14, 'name': 'lightly'}, {'minutes': 0, 'name': 'fairly'}, {'minutes': 11, 'name': 'very'}]",Walk,90013,,207,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-14/2018-06-14/1min/time/18:40/19:05.json,1485000,50.0,,,2018-06-14T23:24:41.000Z,14894881975,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1485000,2018-06-14,,2018-06-14T18:40:42.000-04:00,2197,
921000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 5, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,102.0,112,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-15/2018-06-15/1min/time/8:53/9:08.json,921000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-15/2018-06-15/1sec/time/08:53:12/09:08:33.json,"[{'max': 98, 'min': 30, 'minutes': 2, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 13, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-15T13:47:23.000Z,14905446812,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",921000,2018-06-15,,2018-06-15T08:53:12.000-04:00,1469,https://api.fitbit.com/1/user/-/activities/14905446812.tcx
1026000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 5, 'name': 'lightly'}, {'minutes': 8, 'name': 'fairly'}, {'minutes': 3, 'name': 'very'}]",Walk,90013,99.0,106,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-15/2018-06-15/1min/time/11:24/11:41.json,1026000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-15/2018-06-15/1sec/time/11:24:12/11:41:18.json,"[{'max': 98, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 9, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-15T15:50:06.000Z,14907444347,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1026000,2018-06-15,,2018-06-15T11:24:12.000-04:00,1095,https://api.fitbit.com/1/user/-/activities/14907444347.tcx
973000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 6, 'name': 'fairly'}, {'minutes': 8, 'name': 'very'}]",Walk,90013,98.0,113,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-15/2018-06-15/1min/time/13:04/13:20.json,973000,0.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-15/2018-06-15/1sec/time/13:04:04/13:20:17.json,"[{'max': 98, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 8, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-15T17:37:26.000Z,14909241104,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-06-15,,2018-06-15T13:04:04.000-04:00,1413,https://api.fitbit.com/1/user/-/activities/14909241104.tcx
1280000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 1, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 13, 'name': 'very'}]",Walk,90013,104.0,162,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-15/2018-06-15/1min/time/15:41/16:02.json,1280000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-15/2018-06-15/1sec/time/15:41:05/16:02:25.json,"[{'max': 98, 'min': 30, 'minutes': 6, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 15, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-15T20:42:32.000Z,14912304334,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",1280000,2018-06-15,,2018-06-15T15:41:05.000-04:00,1847,https://api.fitbit.com/1/user/-/activities/14912304334.tcx
922000,"[{'minutes': 0, 'name': 'sedentary'}, {'minutes': 3, 'name': 'lightly'}, {'minutes': 4, 'name': 'fairly'}, {'minutes': 9, 'name': 'very'}]",Walk,90013,103.0,123,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-15/2018-06-15/1min/time/19:18/19:34.json,922000,60.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-15/2018-06-15/1sec/time/19:18:41/19:34:03.json,"[{'max': 98, 'min': 30, 'minutes': 4, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 12, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-15T23:47:46.000Z,14916012662,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",922000,2018-06-15,,2018-06-15T19:18:41.000-04:00,1307,https://api.fitbit.com/1/user/-/activities/14916012662.tcx
4199000,"[{'minutes': 5, 'name': 'sedentary'}, {'minutes': 18, 'name': 'lightly'}, {'minutes': 16, 'name': 'fairly'}, {'minutes': 30, 'name': 'very'}]",Walk,90013,109.0,480,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-16/2018-06-16/1min/time/11:07/12:17.json,4199000,20.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-16/2018-06-16/1sec/time/11:07:36/12:17:35.json,"[{'max': 98, 'min': 30, 'minutes': 7, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 62, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-16T16:28:51.000Z,14928173893,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",4199000,2018-06-16,,2018-06-16T11:07:36.000-04:00,5120,https://api.fitbit.com/1/user/-/activities/14928173893.tcx
3328000,"[{'minutes': 2, 'name': 'sedentary'}, {'minutes': 9, 'name': 'lightly'}, {'minutes': 26, 'name': 'fairly'}, {'minutes': 18, 'name': 'very'}]",Walk,90013,105.0,380,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-16/2018-06-16/1min/time/12:40/13:36.json,3328000,40.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-16/2018-06-16/1sec/time/12:40:37/13:36:05.json,"[{'max': 98, 'min': 30, 'minutes': 16, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 40, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-16T17:45:37.000Z,14929537808,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",3328000,2018-06-16,,2018-06-16T12:40:37.000-04:00,3940,https://api.fitbit.com/1/user/-/activities/14929537808.tcx
973000,"[{'minutes': 1, 'name': 'sedentary'}, {'minutes': 2, 'name': 'lightly'}, {'minutes': 7, 'name': 'fairly'}, {'minutes': 6, 'name': 'very'}]",Walk,90013,101.0,112,https://api.fitbit.com/1/user/-/activities/calories/date/2018-06-16/2018-06-16/1min/time/18:26/18:42.json,973000,10.0,https://api.fitbit.com/1/user/-/activities/heart/date/2018-06-16/2018-06-16/1sec/time/18:26:13/18:42:26.json,"[{'max': 98, 'min': 30, 'minutes': 8, 'name': 'Out of Range'}, {'max': 137, 'min': 98, 'minutes': 7, 'name': 'Fat Burn'}, {'max': 167, 'min': 137, 'minutes': 0, 'name': 'Cardio'}, {'max': 220, 'min': 167, 'minutes': 0, 'name': 'Peak'}]",2018-06-17T05:13:03.000Z,14938874166,auto_detected,"{'calories': False, 'distance': False, 'steps': False}",973000,2018-06-16,,2018-06-16T18:26:13.000-04:00,1177,https://api.fitbit.com/1/user/-/activities/14938874166.tcx
